id,level,area,tags,question,option_a,option_b,option_c,option_d,option_e,correct_option,explanation_correct,source_url,review_note,mcq_only
OA-011,Beginner,Open Access,repositories,What is the Directory of Open Access Journals (DOAJ)?,A commercial publisher that sells access to its journal titles,A ranking system that orders journals by their impact factor score,A citation manager used to organize and format bibliographic references,A database that indexes preprints rather than published journal articles,A curated index of vetted open access journals meeting quality criteria,e,"DOAJ is an independent, community-curated directory that indexes open access journals meeting defined criteria for quality and transparency, helping authors and readers find trustworthy OA journals.",https://doaj.org/about/,checked,
OA-012,Beginner,Open Access,licensing,What does the 'NC' element in a license like CC BY-NC mean?,It means no credit or attribution is required at all,The work may not be used for commercial purposes,It means no changes or adaptations may ever be made,It means no copies of the work may ever be made,It means the license is simply not intended for children,b,NC' stands for NonCommercial: reusers may use and adapt the work but not for primarily commercial purposes; this is more restrictive than CC BY and is not considered fully 'open' by some open-access definitions.,https://creativecommons.org/licenses/by-nc/4.0/,checked,
OA-013,Beginner,Open Access,licensing,What does the 'ND' element in a CC BY-ND license restrict?,It restricts whether the work may be shared with others at all,It restricts whether the work may be read by the public,It restricts whether the original author must be given credit,Making and distributing adapted or modified versions (no derivatives),It restricts where geographically the work may legally be used,d,ND' means NoDerivatives: reusers may copy and share the unchanged work (with attribution) but may not distribute modified or adapted versions; this limits some reuses like translations or remixes.,https://creativecommons.org/licenses/by-nd/4.0/,checked,
OA-014,Beginner,Open Access,repositories,An institutional repository is best described as:,A commercial database that is sold to libraries by a for-profit publishing company,A citation index used primarily to track how often published articles are referenced,A subscription journal that happens to be formally owned and operated by a university,A government agency responsible for distributing competitive research funding grants,An archive run by a university to preserve and share its research outputs,e,"An institutional repository is a service run by an institution to store and openly disseminate the scholarly outputs of its community (articles, theses, reports, data), often supporting green open access self-archiving.",https://coartraining.gitbook.io/coar-repository-toolkit/introduction/role-of-repositories,checked,
OA-015,Beginner,Open Access,repositories,What is an 'embargo period' in the context of green open access?,An outright ban preventing the article from ever being formally published,A fee that readers must pay in order to gain early access to an article,A publisher-set delay before a self-archived version can be made open,The total length of time that formal peer review typically takes to complete,A period during which the publisher's entire journal website is offline,c,"An embargo is a publisher-imposed delay (e.g., 6, 12, or 24 months) after publication before an author may make a repository copy openly available; funders increasingly reject embargoes in favor of immediate access.",https://openpolicyfinder.jisc.ac.uk/help/glossary,checked,
OA-016,Beginner,Open Access,licensing,What does CC0 (CC Zero) do?,Adds the strictest and most restrictive set of licensing conditions possible,Applies exclusively to software and cannot be used for other kinds of works,Requires attribution and forbids the work from being used commercially,"Waives copyright, placing the work effectively in the public domain","Reserves all rights, meaning no reuse of the work is permitted at all",d,"CC0 is a public-domain dedication by which a creator waives their copyright and related rights as far as legally possible, letting anyone use the work for any purpose without conditions; it is commonly recommended for data.",https://creativecommons.org/publicdomain/zero/1.0/,checked,
OA-017,Beginner,Open Access,publishing-economics,Which statement about article processing charges (APCs) is accurate?,Every single open access journal in existence charges an article processing charge,APCs are functionally the same thing as the subscription fees libraries pay,"Fees some OA journals charge authors, though many OA journals charge none",Article processing charges are illegal under most national copyright laws,APCs are fees that are paid directly by individual readers of the article,c,"An APC is a publication fee levied on the author side in some OA models to fund making the article open; however, a large share of OA journals - including diamond/platinum journals - charge no APC at all.",https://doi.org/10.3390/publications3010001,checked,
OA-018,Beginner,Open Access,open-access-models; licensing,What is the difference between 'gratis' and 'libre' open access?,The two terms are identical and describe exactly the same licensing arrangement,Gratis open access means the article is paid for; libre means it is free,Gratis OA means free to read; libre OA also grants reuse rights via a license,"The libre designation applies only to open access books, not to articles",Gratis open access always requires the author to pay a processing charge,c,"Gratis OA removes the price barrier (free to read) but not permission barriers; libre OA removes both, adding an open license that grants reuse rights (e.g., CC BY). Bronze OA is typically gratis-only.",https://sparcopen.org/our-work/gratis-and-libre-open-access/,checked,
OA-019,Beginner,Open Access,open-access-models,The 2003 Berlin Declaration is significant in open access history because it was:,The creator and launcher of the very first preprint server for scientific papers,"An early statement promoting open access, with signatories committing to it",A formal ban on the continued operation of subscription-based journals,The founding statement that established Creative Commons licensing,The declaration that first established the Journal Impact Factor,b,"The Berlin Declaration on Open Access to Knowledge in the Sciences and Humanities (2003) is one of the foundational OA statements (alongside Budapest and Bethesda), with many institutions signing to commit to advancing open access.",https://openaccess.mpg.de/Berlin-Declaration,checked,
OA-020,Beginner,Open Access,open-access-models,Which best describes 'open access' at its core?,Free membership in a scholarly society that grants access to its journals,"Online, free-of-charge access to scholarly literature, often with rights to reuse it",Access that is restricted only to a particular journal's paying subscribers,Access to scholarly literature that is limited to a single country,A discount applied to the article processing charges authors must pay,b,"Open access refers to scholarly outputs being available online free of charge to readers, and in its fuller ('libre') sense with an open license granting reuse rights, removing price and often permission barriers.",https://www.budapestopenaccessinitiative.org/read/,checked,
OA-021,Beginner,Open Access,repositories,What does DOAB (the Directory of Open Access Books) do?,Indexes peer-reviewed open access books and chapters to make them discoverable,Assigns ISBNs to newly published open access monographs and chapters,Sells discounted e-book versions of open access academic books,Publishes an annual ranking of academic book publishers,Provides paid review services for authors of academic books,a,"DOAB is a discovery service that indexes quality-assured, peer-reviewed open access academic books and chapters from many publishers, helping readers and libraries find open monographs.",https://www.doabooks.org/en/doab/about-doab,checked,
OA-022,Beginner,Open Access,licensing; policy-compliance,Why is CC BY often the license required or preferred by open access funders?,Because it explicitly prevents the work from being used for any commercial purpose,Because it entirely forbids anyone from reusing the licensed work,Because it happens to be the only completely free Creative Commons license,Because it maximizes reuse while still ensuring the author is credited,Because it deliberately hides the identity of the work's original author,d,"Funders such as those in cOAlition S require CC BY because it permits the widest reuse - copying, adapting, mining, redistributing, even commercially - while guaranteeing attribution, aligning with open-access goals.",https://www.coalition-s.org/plan_s_principles/,checked,
OA-023,Beginner,Open Access,open-access-models; repositories,Can a researcher who publishes in a subscription (paywalled) journal still provide green open access to the article?,"No, green open access only ever works for articles published in fully open access journals","Yes, but only after the author pays an additional, separate article processing charge","No, subscription journals never permit any form of open access whatsoever","Yes, by self-archiving a permitted version under the publisher's policy","No, unless the article happens to be more than ten years old already",d,"Green open access is independent of the journal's own model: an author in a subscription journal can deposit a permitted version (commonly the author accepted manuscript) in a repository, according to the publisher's self-archiving policy or a funder rights-retention agreement, making it freely accessible at no APC.",https://open-access.network/en/information/open-access-primers/green-and-gold#c8383,checked,
OA-024,Intermediate,Open Access,licensing,How does the CC BY-SA (ShareAlike) license differ from CC BY?,BY-SA requires derivatives to be shared under a compatible license,BY-SA removes the requirement that the original author be given credit,BY-SA forbids the creation of any derivatives or adaptations at all,BY-SA applies only to photographs and other visual images,BY-SA forbids the licensed work from being used commercially,a,"CC BY-SA requires attribution and additionally that any adapted/derivative works be licensed under the same or a compatible ShareAlike license, keeping downstream versions equally open - a copyleft mechanism used by, e.g., Wikipedia.",https://creativecommons.org/licenses/by-sa/4.0/,checked,
OA-025,Intermediate,Open Access,publishing-economics,"What is a 'transformative agreement' (e.g., read-and-publish or publish-and-read)?",A formal corporate merger between two previously separate academic publishing companies that share resources,A license under which the author transfers full and permanent copyright ownership of the article to their funder,A blanket policy adopted by funders that bans institutions from subscribing to any hybrid journals at all,A contract bundling subscription access with open access publishing for an institution,A structural reform initiative aimed specifically at changing how the peer-review process is conducted,d,"Transformative agreements bundle reading access and open-access publishing into one deal, repurposing library subscription spend to cover OA publishing of the institution's articles, with the stated aim of transitioning journals to full open access.",https://esac-initiative.org/about/transformative-agreements/,checked,
OA-026,Intermediate,Open Access,open-access-models; publishing-economics,What is 'Subscribe to Open' (S2O)?,"If enough subscribers renew, that year's content opens with no author APCs",A model where libraries subscribe specifically to keep a journal's content permanently closed,A discount program that reduces the fees individual authors have to pay,A particular type of green open access achieved through self-archiving,A subscription that grants early access to preprints before formal publication,a,"Under Subscribe to Open, a journal converts to open access year by year if its usual subscribers continue paying; when the threshold is met, that year's content is made openly available and no author-facing APCs are charged.",https://subscribetoopencommunity.org/,checked,
OA-027,Intermediate,Open Access,licensing,Why is CC BY-NC-ND sometimes criticized when applied to scholarly articles despite being 'open to read'?,It costs authors noticeably more in fees to publish than a plain CC BY license would ever require,Its NonCommercial and NoDerivatives terms block many legitimate reuses,It effectively and permanently bans anyone at all from reading the article once it is published,It removes the requirement that the original author be formally credited when the work is reused,"It is not actually recognized by Creative Commons as a real, legally valid license option",b,"CC BY-NC-ND lets people read the article for free, but its NC (NonCommercial) and ND (NoDerivatives) terms block reuses like translation, adapting figures for teaching, or text-and-data mining by companies. Because of this, CC's own guidance notes that under some open access definitions, ND and NC-ND licenses don't count as ""open access"" at all, only under broader definitions do they qualify as a lesser, more restrictive form of openness. This is why funders like cOAlition S recommend CC BY specifically: it's the license that fully satisfies ""any lawful purpose"" reuse.",https://creativecommons.org/course/cc-cert-edu/unit-5-cc-for-academic-librarians/5-1-open-access-to-scholarship/,checked,
OA-028,Intermediate,Open Access,open-access-models; publishing-economics; equity-inclusion,"Latin America's scholarly publishing ecosystem (SciELO, Redalyc, AmeliCA) is notable for predominantly using which OA model?",Hybrid open access publishing that charges unusually high processing fees,"Bronze open access, where articles are free to read but carry no license","Green self-archiving only, with no formally open access journals involved","Diamond OA, funded by public institutions rather than authors","Subscription-only access, with no open access options offered at all",d,"SciELO, Redalyc, and AmeliCA anchor a long-standing regional infrastructure where academic institutions, not authors or commercial publishers, own and sustain scholarly journals, with no reading or publishing fees. cOAlition S itself points to this ecosystem as a model for diamond OA globally, and separately, Redalyc alone indexes some 1,300 journals from 620 institutions across 22 countries, evidence of how deeply diamond OA is embedded in the region, in contrast to the APC-driven gold OA more common in North America and Western Europe.",https://www.coalition-s.org/blog/towards-a-federated-global-community-of-diamond-open-access/,checked,
OA-029,Intermediate,Open Access,policy-compliance; repositories,"What did Jisc's 'Open Policy Finder' replace, and what does it help users check?","It replaced Zenodo, and it primarily helps researchers store their datasets",It replaced Sherpa (Romeo/Juliet/Fact); it helps check OA and self-archiving policies,"It replaced ORCID, and it primarily helps institutions verify author identities","It replaced Crossref, and it primarily helps publishers register new DOIs","It replaced DOAJ, and it primarily helps readers check journal impact factors",b,"Open Policy Finder, launched by Jisc in November 2024, consolidated the Sherpa Romeo (publisher OA/archiving policies), Sherpa Juliet (funder policies), and Sherpa Fact services into one platform for checking OA and self-archiving permissions.",https://www.jisc.ac.uk/news/all/sherpa-services-combined-into-new-user-friendly-platform-open-policy-finder,checked,
OA-030,Intermediate,Open Access,open-access-models; publishing-economics,What is the difference between a 'fully OA' (pure gold) journal and a 'hybrid' journal?,There is no meaningful difference between the two types of journal at all,A fully OA journal opens all articles; a hybrid journal only opens paid ones,Hybrid journals never charge any kind of fee to authors or readers,"Fully open access journals are always, by definition, diamond open access",Hybrid journals publish a mix of research article and research datasets,b,"In a fully/pure gold OA journal, every article is open to read. A hybrid journal is fundamentally different: it's still a subscription journal, most of its content stays behind a paywall, but individual authors can pay a surcharge (similar to a gold OA APC) to make just their own article open. This means a library can end up paying twice for the same journal, once for the subscription, and again through APCs its researchers pay to open individual articles, a practice known as ""double dipping"" and a key reason Plan S doesn't support the hybrid model.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5624290/,checked,
OA-031,Intermediate,Open Access,publishing-economics; equity-inclusion,Which of the following best describes the equity concern raised by the APC-based (gold) open access model?,Author-side charges can exclude researchers without funding or not from prestigious institutions,APCs shift the equity burden away from authors and onto institutional libraries,"APCs are a cost barrier that affects only the readers of an article, never its actual authors",Article processing charges are a reliable indicator of research quality regardless of institutions,APC waivers for authors in low-income countries are applied consistently across all major publishers,a,"While APC gold OA removes paywalls for readers, it can create a new barrier for authors who lack grants or institutional funds - a concern especially for the Global South and less-funded disciplines - motivating waivers, diamond OA, and other models.",https://www.nature.com/nature-index/news/equity-concerns-persist-over-open-access-publishing,checked,
OA-032,Intermediate,Open Access,publishing-economics; equity-inclusion,Programs like Research4Life exist primarily to:,Produce and publish rankings of open access journals,Provide direct financial support to preprint servers,Assign persistent DOIs to scholarly publications,Provide free or low-cost access to literature for researchers in eligible countries,Formally certify the trustworthiness of data repositories,d,"Research4Life is a public-private partnership giving institutions in eligible low- and middle-income countries free or very low-cost access to peer-reviewed content (and related waivers), addressing access inequities in scholarly literature.",https://www.research4life.org/about/,checked,
OA-033,Intermediate,Open Access,rights-retention; policy-compliance; repositories,An author wants to comply with a funder's immediate-OA requirement but publish in a subscription journal. Which route most directly enables this without an APC?,Green open access via self-archiving with rights retention to avoid an embargo,"Posting a preprint of the work and simply stopping there, without further action",Waiting patiently for the publisher's standard 24-month embargo period to end,Paying the publisher's fee to access the hybrid open access option,Formally transferring copyright ownership of the article to the funder,a,"Depositing the accepted manuscript in a repository (green OA), combined with a rights-retention strategy that secures a CC BY license before submission, lets the author provide immediate open access with no APC, even in a subscription journal.",https://www.coalition-s.org/rights-retention-strategy/,checked,
OA-034,Intermediate,Open Access,licensing,"How can Creative Commons licenses be combined or 'stacked', and what limitation exists?","BY, SA, NC, and ND combine into six licenses, but SA and ND cannot coexist",There are exactly 20 valid combinations that can be formed from the four licensing elements,Any of the four licensing elements can be freely combined together with no restrictions at all,Only the NC and ND elements are ever permitted to be combined together in a single license,Creative Commons licenses can never be combined with one another under any circumstances at all,a,"Creative Commons offers six licenses formed from the BY, SA, NC, and ND conditions; ShareAlike and NoDerivatives are mutually exclusive (one governs how derivatives are shared, the other bans derivatives), which is why no BY-SA-ND license exists.",https://creativecommons.org/share-your-work/cclicenses/,checked,
OA-035,Intermediate,Open Access,repositories,What is the significance of a journal being listed in DOAJ for authors assessing where to publish?,It automatically guarantees that the journal has a high official impact factor,It signals the journal has met DOAJ's transparency and quality criteria,It simply means the journal does not charge any fees whatsoever,It provides a formal numerical ranking for where the journal stands,It certifies that every single article the journal publishes is factually correct,b,"DOAJ inclusion indicates a journal meets vetted criteria for openness, transparency, and best practice, which authors can use as one positive signal of legitimacy - useful in avoiding predatory venues - though it is not a quality-of-content guarantee.",https://doaj.org/apply/guide/,checked,
OA-036,Intermediate,Open Access,repositories,"What was the 'DOAJ Seal', and what happened to it?",A decorative logo or badge that any journal could simply purchase outright from DOAJ for a fee,A mark for meeting seven best-practice criteria; DOAJ retired it in 2025 amid equity concerns,A ranking system that listed and ordered only the very top open access journals each year,A specific type of open Creative Commons license that individual journals could choose to formally adopt,A certificate awarded to individual peer reviewers in recognition of their volunteer service,b,"The DOAJ Seal recognized journals meeting seven higher-bar best-practice criteria. DOAJ retired it on 8 April 2025, partly because only about 8% of indexed journals had ever earned it, and of those, 88% came from the economic North and larger commercial publishers, confirming the Seal was easier for well-resourced journals to achieve, at odds with DOAJ's mission of equal visibility regardless of geography. DOAJ has since planned equity-oriented labels (e.g., Diamond OA, author-retains-rights) in its place.",https://blog.doaj.org/2025/04/09/our-metadata-changes-are-live-and-the-seal-has-been-retired,checked,
OA-037,Expert,Open Access,rights-retention; policy-compliance; repositories,"Under Plan S's Rights Retention Strategy, why is the Author Accepted Manuscript (AAM), rather than the publisher's Version of Record (VoR), often the version actually deposited to satisfy compliance?","The AAM is what the prior CC BY license attaches to; it's available without needing the publisher's cooperation, unlike the VoR","The AAM is considered scientifically more accurate than the VoR, since it hasn't been altered by a publisher's editorial team",Funders require the AAM specifically because it is shorter and cheaper for repositories to store than the VoR,"The VoR can never legally be deposited in any repository, under any licensing arrangement","The AAM is the version submitted before peer review, so it becomes available for deposit much earlier than the VoR",a,"cOAlition S's own preferred option is actually the VoR made open access, since it's the publisher-maintained, corrected, authoritative version; but where a publisher won't cooperate, the AAM (the peer-reviewed version before copyediting/formatting) is the fallback, because the prior CC BY license from Rights Retention attaches to the author's own manuscript, something authors can deposit unilaterally regardless of whether the publisher agrees to open the VoR.",https://www.coalition-s.org/rights-retention-strategy/,checked,
OA-038,Expert,Open Access,publishing-economics,"A 2020 joint position paper by fully open-access publishers (including Frontiers, MDPI, and Copernicus) argued that transformative agreements are often not truly ""transformative."" What was their key critique?",The agreements are illegal under most national procurement and antitrust law,"The agreements only ever end up financially benefiting small, independent society publishers",The agreements eliminate all reading access to a journal's content for every remaining subscriber,"The agreements lack binding guarantees to reach full, immediate open access within a defined timeframe, so large sums of public funding can flow indefinitely without a completed transition",The agreements reduce a publisher's subscription revenue far too quickly for it to financially survive,d,"In a joint position paper, fully open-access publishers argued that for an agreement to be genuinely ""transformative,"" it must guarantee full transition to 100% OA within a defined, short timeframe, and guarantee the process can't be reversed or cancelled afterward. Their concern was that many large-scale Publish and Read deals lacked exactly these binding conditions, so they could tie up substantial public funding with large subscription publishers indefinitely, without ever being contractually forced to complete the transition, a critique that helped shape cOAlition S's eventual decision to time-limit its own financial support for these arrangements.",https://www.frontiersin.org/news/2020/03/10/current-transformative-agreements-are-not-transformative,checked,
OA-039,Expert,Open Access,open-access-models,How does 'bronze' open access complicate open-access measurement and policy compliance?,"It is, in every practical and legal respect, exactly the same thing as gold open access","It is a designation that applies only to research datasets, and never to journal articles",It is simply a specific subtype that falls formally under the umbrella of diamond open access,"It requires, by strict definition, that the author pay a substantial article processing charge","Bronze articles are free but unlicensed, so access can be revoked anytime",e,"Piwowar et al. coined ""Bronze"" for articles free to read on the publisher's site with no explicit open license, and found it was actually the single largest OA category, bigger than Gold, Green, or Hybrid. That's the problem: Bronze lumps together genuinely free content, delayed/embargoed access, and publisher-chosen promotional freebies, none guaranteed to stay open or reusable. Since funder policies typically require an open license and lasting access, counting Bronze as ""OA"" without distinguishing it can make compliance look better than it really is.",https://peerj.com/articles/4375/,checked,
OA-040,Expert,Open Access,licensing; policy-compliance,Why is CC BY generally required rather than CC BY-NC for compliant open-access articles under policies like Plan S?,"NC's boundary is genuinely unclear (e.g., is text-mining by a company, or copying at print cost, ""commercial""?), so it risks blocking reuses Plan S wants to guarantee","CC BY-NC forbids all forms of reuse whatsoever, including reading the article itself","CC BY-NC is legally identical to CC BY, so requiring one over the other has no real practical effect","CC BY-NC requires a more expensive, separately negotiated licensing fee that CC BY does not",CC BY-NC was designed specifically to prevent authors from being properly credited for their work,a,"Plan S calls out that NonCommercial terms are ambiguous; ""commercial"" has no settled definition in this context, so uses like a university licensing content, a researcher hiring a commercial print shop, or a company running text-and-data-mining are all genuinely contested cases. Because Plan S wants guaranteed, unrestricted reuse, that ambiguity itself is the problem, not just that NC ""restricts more,"" but that nobody can say in advance exactly what it restricts.",https://www.coalition-s.org/plan_s_principles/,checked,
OA-041,Expert,Open Access,rights-retention; policy-compliance,"What distinguishes a 'rights-retention' open-access mandate (used in various forms by Harvard, cOAlition S, and UKRI) from a simple deposit request?",A rights-retention policy mainly differs by requiring a longer embargo period before deposit is allowed,"It requires the university, rather than the author, to negotiate and pay for publication in a fully open-access journal","It transfers copyright ownership of the article to the institution, similar to a standard publisher agreement","It applies to all written scholarly output, including books, datasets, and teaching materials, not just journal articles","Authors (or their institution, by policy) grant a prior, non-exclusive license before any publisher contract is signed",e,"Rights-retention mandates work by securing a standing, non-exclusive license, granted by faculty vote (Harvard) or by policy (cOAlition S, UKRI), before any publisher contract exists. This means the right to deposit openly is locked in ahead of time and can't be signed away by a later publishing agreement; a plain deposit request has no such legal backing and can simply be overridden by publisher terms. Crucially, this is not a transfer of ownership: authors retain copyright throughout, the institution only holds a limited, non-exclusive license.",https://library.harvard.edu/about/policies/harvard-open-access-policies,checked,
OA-042,Expert,Open Access,open-access-models; publishing-economics; equity-inclusion,"Why do some argue diamond open access is more sustainable and equitable than APC-based gold OA, and what is its main challenge?","Diamond removes author charges, but its challenge is securing stable, long-term funding","Diamond open access relies on a lighter, faster form of peer review than gold OA journals typically use",Diamond open access is funded primarily through higher article processing charges spread across a consortium of authors,"Diamond open access is concentrated almost entirely in well-resourced Global North institutions, with little uptake elsewhere","Diamond open access has largely solved its funding challenges through stable, long-term government contracts",a,"Diamond OA charges neither readers nor authors, avoiding the equity problems of APCs and the paywalls of subscriptions; because it's typically community-driven, academic-led, and academic-owned, it also supports bibliodiversity, sustaining small-scale, multilingual, and regional scholarly communities that commercial models often don't serve. Its central difficulty is sustainable financing: it depends on institutional, governmental, or volunteer support that can be precarious, which is why cOAlition S and partners launched the Action Plan for Diamond Open Access and the Global Summit on Diamond Open Access to coordinate funding and capacity-building efforts.",https://www.coalition-s.org/diamond-open-access/,checked,
OA-043,Expert,Open Access,policy-compliance,cOAlition S's 'Towards Responsible Publishing' proposal (2023-2024) envisions a scholarly communication system in which:,"Third-party publishing services are eliminated entirely, with all peer review handled in-house by funders","Authors retain rights and share the full range of outputs, not just the final article","Editorial gatekeeping and career incentives are tied more closely together, not less, to raise publishing standards","Peer review is conducted, then permanently discarded, since only the final approved article carries scholarly value",Authors surrender the decision of when and what to publish to their funding institution,b,"cOAlition S argued the current system has four core problems: publishing models are highly inequitable, sharing of outputs is needlessly delayed, peer review's full potential goes unrealised (reports are rarely captured or shared), and editorial gatekeeping tied to career incentives is actively damaging science. Their proposed fix reframes publishing around the whole research process: authors decide when and what to share, third-party services can charge for support but can't block dissemination, and the scholarly record expands to include preprints, data, and peer-review reports, not just the final formatted article.",https://www.coalition-s.org/wp-content/uploads/2023/10/Towards-responsible-publishing-a-proposal-from-cOAlition-S-Summary.pdf,checked,
OA-044,Expert,Open Access,policy-compliance; publishing-economics,What defines a 'transformative agreement' between an institution and a publisher?,It is a one-time grant an institution gives a publisher to convert its entire journal portfolio to open access permanently,"It requires each author to negotiate and pay their own article processing charge, same as under a standard hybrid subscription",It is a formal certification that a publisher's journals meet a minimum open-access compliance standard,It merges a library's subscription (reading) spending and authors' individual open-access publishing fees into one centrally negotiated deal with the publisher,It replaces subscription access with pay-per-article purchasing for each individual reader,d,"Per ESAC (the field's reference initiative for these deals), a transformative agreement repurposes an institution's former subscription spending to cover open access publishing costs, bringing reading access and open-access publishing, previously two separate transactions (library subscription fees and individual author APCs), under one centrally negotiated contract. This shifts both who pays (institution, not individual author) and what's being paid for (publishing services, not just access).",https://esac-initiative.org/about/transformative-agreements/,checked,
